1,|19|66|19|
6,|19|19|19|81|11|19|
8,|33|31|67|
10,|38|19|
12,|79|22|22|
14,|56|56|56|56|56|56|44|42|42|42|
15,|77|41|6|
18,|2|77|77|31|
19,|67|67|24|
21,|14|33|
22,|60|60|60|68|
26,|15|19|
32,|19|33|
37,|77|77|33|19|11|
38,|33|77|33|19|19|
40,|55|42|
41,|74|74|33|33|33|
42,|33|19|31|
43,|33|33|6|
45,|82|82|82|82|52|
47,|19|16|
48,|56|24|6|
52,|6|6|19|70|
54,|77|77|19|77|
60,|81|82|82|82|
63,|5|19|
65,|75|7|
69,|53|56|44|14|14|75|
70,|77|81|
73,|77|77|77|81|
74,|8|77|
75,|49|49|33|
76,|24|33|
77,|45|41|
79,|33|19|
80,|43|43|6|6|
83,|77|33|80|33|6|
87,|49|17|
88,|17|65|17|
89,|47|17|
92,|14|6|6|
93,|67|6|6|
94,|65|17|
100,|33|70|33|70|70|33|31|
101,|77|17|
104,|19|35|17|17|
105,|33|15|19|15|
106,|33|17|
110,|45|45|19|
111,|77|77|69|
112,|21|18|
113,|24|19|19|19|
114,|13|24|19|
116,|36|49|
120,|33|19|6|
123,|35|35|65|65|
124,|44|33|33|
125,|53|7|
126,|33|19|
129,|3|63|
131,|56|75|
133,|13|29|33|
139,|33|24|
142,|33|35|24|77|11|11|11|
145,|21|33|
146,|17|77|77|
149,|45|77|
150,|33|19|
154,|10|44|
157,|24|24|24|75|
159,|19|33|17|17|
160,|34|19|
162,|28|21|
163,|33|35|6|6|6|
164,|52|52|33|33|
165,|14|13|19|
166,|12|51|7|
167,|35|33|33|34|
169,|24|33|
173,|65|41|
175,|24|18|
177,|19|7|46|
178,|77|69|
182,|55|19|
184,|33|33|31|
186,|33|19|
187,|24|6|
189,|33|33|33|65|
190,|3|33|33|33|33|
191,|56|24|24|24|24|
193,|56|33|33|
194,|33|35|
195,|24|24|
196,|24|6|81|33|
197,|62|11|
198,|58|75|
199,|3|55|
202,|63|19|
203,|60|53|
204,|24|44|
205,|21|77|33|
206,|19|55|31|31|
208,|77|6|19|19|
209,|6|33|
212,|7|13|
216,|59|75|
217,|47|49|31|31|
219,|77|33|33|33|
220,|47|81|81|6|
224,|56|56|56|56|44|44|
225,|77|3|6|
226,|14|14|
228,|33|35|
229,|73|33|33|
232,|35|67|
233,|81|19|
238,|77|19|
243,|18|75|75|75|
245,|24|24|24|75|
246,|36|6|
248,|77|33|33|33|
251,|33|13|31|
254,|6|6|6|65|
255,|64|33|
256,|24|24|
258,|13|49|
259,|47|19|
260,|73|6|
261,|33|33|62|
262,|66|77|33|
265,|18|44|44|
266,|33|77|
267,|33|17|
268,|15|19|
269,|49|49|19|
271,|33|33|6|
274,|27|72|19|
275,|58|23|23|46|
280,|21|77|77|
281,|54|33|77|
283,|36|28|24|74|
286,|15|44|44|
287,|33|44|
288,|28|44|
290,|72|19|65|
291,|56|19|19|19|
295,|29|16|
296,|33|70|
297,|58|16|
301,|33|33|6|
302,|57|26|
306,|60|8|
307,|73|19|
308,|82|58|58|
309,|28|77|19|
312,|34|33|
314,|33|6|
315,|33|28|
316,|33|62|62|
320,|70|33|
323,|24|24|
324,|33|24|19|
326,|13|33|33|33|
328,|6|6|6|41|
329,|33|17|81|
330,|40|6|13|
334,|21|29|
335,|28|24|
337,|75|13|13|75|
338,|6|6|5|
339,|6|6|19|19|
340,|64|64|64|77|
341,|6|6|
343,|27|21|
344,|24|30|
348,|47|49|
351,|81|7|31|
353,|13|17|
354,|60|2|
356,|45|19|
357,|11|33|13|
358,|19|19|46|
359,|8|5|
360,|73|73|19|19|19|
361,|77|81|3|
365,|35|35|33|17|
366,|57|44|
367,|33|17|
368,|73|28|6|6|
370,|28|13|
371,|42|16|
372,|33|77|33|
374,|24|11|
375,|33|77|19|
378,|77|33|77|
379,|81|58|
380,|10|44|44|44|
382,|33|6|
385,|71|77|19|
386,|77|77|19|
387,|19|40|19|
389,|44|33|
390,|33|48|
392,|81|55|
393,|77|19|69|
394,|77|33|33|7|
396,|81|81|3|
398,|28|28|33|33|33|
399,|77|19|4|
400,|24|24|24|24|28|
402,|22|6|
403,|33|81|81|
406,|6|19|
407,|14|29|29|
410,|24|19|
411,|75|18|44|
412,|18|77|19|
413,|56|16|75|
418,|18|19|19|19|19|19|19|
419,|44|75|
425,|6|33|75|
428,|33|24|6|24|24|24|24|24|24|
431,|8|8|6|6|6|
437,|56|44|22|28|
439,|62|62|6|65|
440,|22|33|33|
443,|24|24|24|24|
447,|77|77|77|65|5|
448,|33|81|
452,|33|33|33|6|
454,|13|13|19|
455,|31|4|
456,|33|33|33|33|33|33|5|
460,|33|33|31|31|
462,|81|11|
464,|33|40|
467,|6|6|6|6|6|
470,|45|31|31|
472,|75|19|
475,|26|24|24|24|
476,|79|24|
477,|67|46|46|
480,|33|6|6|
481,|53|14|
483,|24|24|24|75|
485,|77|33|
486,|24|53|
491,|49|49|28|
493,|56|56|44|44|
494,|19|7|19|
497,|33|46|
498,|24|2|
501,|44|62|
503,|60|9|
505,|18|19|
511,|60|8|8|
516,|24|24|24|24|75|75|
517,|33|31|
518,|33|33|33|33|33|6|6|
520,|77|65|81|
522,|19|19|17|
525,|50|11|33|5|
529,|6|6|65|
531,|77|19|
535,|44|28|
537,|60|18|
538,|24|33|
539,|33|31|
540,|38|19|19|17|19|
541,|6|65|
544,|41|69|
545,|14|33|
548,|44|24|44|
549,|33|19|
550,|13|28|
551,|19|19|19|19|19|46|
552,|10|19|
553,|48|11|
555,|28|33|33|33|33|33|33|
556,|67|33|19|
560,|27|27|21|
562,|28|71|
564,|74|65|65|65|
565,|24|14|24|
568,|16|6|7|
569,|19|19|31|
570,|62|11|
571,|54|44|
572,|77|31|
574,|33|33|77|77|
577,|7|69|
578,|37|19|
582,|72|58|58|75|75|
583,|44|6|
584,|17|17|19|
587,|19|51|
588,|56|77|41|
592,|14|51|
593,|13|19|
595,|77|7|
596,|22|58|75|
598,|24|24|24|24|24|19|
599,|15|58|
601,|24|64|28|
602,|7|3|3|3|3|
605,|18|49|
606,|22|28|
607,|11|33|
609,|81|9|
613,|33|13|
615,|60|44|44|
619,|58|74|31|31|
622,|70|35|
623,|33|19|77|6|
624,|44|13|6|13|
627,|44|44|44|75|
628,|42|22|
630,|24|22|
631,|49|33|
632,|19|1|7|65|
633,|40|58|21|
655,|33|33|31|17|
657,|13|17|
658,|35|19|19|
660,|43|24|
664,|28|28|40|
665,|33|77|80|6|
667,|65|65|17|
670,|33|33|33|33|31|81|
671,|47|1|
672,|81|64|
674,|30|24|
675,|33|77|77|
676,|6|33|33|
678,|81|28|
681,|22|79|24|
684,|11|48|
690,|24|37|19|
691,|41|7|
692,|28|82|82|
695,|24|56|
696,|19|55|31|31|
702,|49|77|
703,|63|19|
705,|19|42|
707,|67|19|
709,|44|24|
710,|24|33|
711,|21|24|59|59|
712,|77|75|
713,|28|28|28|65|
715,|55|33|55|55|
717,|24|21|
718,|41|21|
719,|77|77|77|77|17|
723,|24|8|
725,|36|22|
727,|67|19|
728,|28|33|
729,|67|67|6|6|
730,|47|28|
733,|34|24|77|77|19|
737,|13|72|
739,|11|48|
742,|33|73|
744,|18|33|33|
746,|31|31|17|
748,|33|33|33|33|52|
749,|66|73|33|33|33|33|
751,|77|33|81|81|81|81|
752,|21|44|
755,|44|56|33|
758,|71|14|19|
760,|34|19|
765,|14|40|
766,|6|43|6|6|19|
769,|24|24|19|19|
770,|60|68|
772,|28|24|24|28|28|
774,|81|77|
777,|55|19|17|
778,|36|14|28|
779,|7|28|28|
780,|77|34|15|65|
783,|49|74|
789,|6|6|23|
792,|24|19|
794,|73|82|46|
795,|59|59|59|59|44|
798,|47|19|
802,|57|33|
804,|33|82|
805,|35|35|33|33|5|
806,|33|33|17|
809,|19|19|19|17|17|17|
810,|71|44|44|
811,|55|15|
819,|56|7|
820,|33|77|
824,|33|33|33|33|6|
828,|31|31|31|31|31|69|
830,|6|6|6|6|6|
832,|33|33|33|7|
833,|7|14|
834,|81|81|31|
837,|21|21|21|56|
838,|35|17|46|
839,|33|77|
840,|33|62|
842,|24|24|24|24|24|24|6|
846,|74|75|
847,|75|17|
848,|6|31|
849,|14|14|14|14|
851,|6|7|19|
852,|75|24|
856,|33|77|7|
858,|77|77|77|33|17|
861,|44|3|3|3|
862,|19|71|
864,|33|33|33|33|33|33|17|
865,|74|31|
867,|40|14|
868,|77|19|31|
871,|81|7|
872,|58|33|82|75|20|20|20|69|
875,|3|3|3|3|3|
876,|10|44|44|44|
877,|36|31|69|
878,|54|44|44|44|44|
879,|18|18|6|33|69|33|
881,|24|49|
883,|33|17|
886,|81|7|7|
888,|14|14|80|80|80|
890,|10|44|
892,|77|13|65|
893,|28|45|
894,|28|19|19|
895,|17|19|5|
897,|77|11|
899,|21|51|24|
900,|18|7|7|
901,|33|28|28|
905,|18|19|
907,|24|19|
910,|56|44|24|
913,|11|77|
914,|33|19|
915,|44|45|
917,|15|33|
919,|33|33|33|81|
920,|58|58|45|45|45|45|45|45|58|
921,|24|22|6|6|
924,|72|77|77|33|
926,|33|33|33|33|35|35|
928,|3|19|19|
931,|21|14|7|
932,|16|3|
936,|28|14|16|
937,|6|33|33|33|
939,|77|7|
940,|14|29|24|
942,|45|44|
944,|65|65|31|
946,|55|31|
948,|56|44|
952,|21|22|
955,|6|17|
956,|17|38|
957,|70|24|24|24|24|
960,|33|65|
962,|33|69|
964,|33|33|33|33|33|65|65|
966,|24|24|33|33|33|33|6|6|
968,|24|28|
969,|33|5|
970,|56|77|41|
973,|44|33|77|77|77|77|
974,|58|58|58|76|
979,|33|33|33|33|41|7|
980,|60|8|
983,|7|13|7|
984,|55|44|44|44|44|44|
985,|6|33|
986,|44|3|
988,|77|41|41|
990,|33|31|31|
991,|74|29|
992,|34|19|
993,|72|33|23|
996,|77|77|19|46|
998,|61|65|
1000,|28|33|33|
1002,|42|42|33|
1003,|19|13|
1005,|33|65|
1006,|33|33|33|14|
1007,|33|33|81|
1009,|33|33|33|6|
1016,|8|6|
1017,|6|38|6|
1021,|6|65|65|69|
1023,|38|59|77|31|
1025,|62|11|
1026,|77|33|
1028,|33|33|33|19|
1029,|15|15|19|19|
1030,|56|16|
1035,|82|52|52|82|52|
1036,|33|49|
1037,|33|77|77|
1038,|77|24|
1041,|35|11|19|65|65|65|
1044,|6|65|
1046,|33|17|
1047,|8|52|
1049,|44|22|
1050,|24|81|81|81|
1051,|24|24|24|81|
1052,|62|28|
1054,|58|7|44|
1055,|77|34|
1059,|19|78|78|
1060,|27|49|
1062,|8|69|
1063,|77|31|31|
1065,|33|33|65|65|65|
1066,|19|46|7|44|
1067,|18|7|7|
1073,|33|33|33|33|31|
1074,|38|72|
1075,|6|77|
1077,|19|33|33|31|31|31|
1078,|66|31|
1080,|33|75|
1083,|77|31|
1085,|49|49|7|
1086,|28|49|49|
1087,|81|81|45|
1088,|14|75|75|81|
1091,|35|71|24|
1092,|28|77|
1093,|75|19|
1095,|21|21|20|6|11|11|
1098,|6|75|31|31|
1102,|22|5|
1104,|10|82|82|65|32|
1105,|77|33|
1108,|75|40|
